顧客ID,購買金額,購買金額平均,購買金額Mランク,購買頻度,購買頻度平均,購買頻度Fランク,最新購買日,最新購買日Rランク,新規顧客,人数
C112938,12573,12573,M3,2,2,F1,2019/5/6,R1,No,1
C113080,18867,18867,M3,2,2,F1,2019/5/6,R1,No,1
C113694,11488,11488,M3,2,2,F1,2019/5/6,R1,No,1
C113728,17847,17847,M3,2,2,F1,2019/5/6,R1,No,1
C113834,11872,11872,M3,2,2,F1,2019/5/6,R1,No,1
C114146,11159,11159,M3,2,2,F1,2019/5/6,R1,No,1
C102552,23010,23010,M4,3,3,F2,2019/5/6,R1,No,1
C105542,22981,22981,M4,3,3,F2,2019/5/6,R1,No,1
C107016,20199,20199,M4,3,3,F2,2019/5/6,R1,No,1
C111496,21153,21153,M4,2,2,F1,2019/5/6,R1,No,1
C111508,21765,21765,M4,2,2,F1,2019/5/6,R1,No,1
C111668,28386,28386,M4,2,2,F1,2019/5/6,R1,No,1
C112072,29792,29792,M4,2,2,F1,2019/5/6,R1,No,1
C113670,27849,27849,M4,2,2,F1,2019/5/6,R1,No,1
C114762,27423,27423,M4,2,2,F1,2019/5/6,R1,No,1
C104730,43375,43375,M5,3,3,F2,2019/5/6,R1,No,1
C107610,36597,36597,M5,3,3,F2,2019/5/6,R1,No,1
C109260,33833,33833,M5,2,2,F1,2019/5/6,R1,No,1
C104820,4846,4846,M1,3,3,F2,2019/5/7,R1,No,1
C106846,3009,3009,M1,3,3,F2,2019/5/7,R1,No,1
C108062,1172,1172,M1,2,2,F1,2019/5/7,R1,No,1
C108184,3538,3538,M1,2,2,F1,2019/5/7,R1,No,1
C109462,1144,1144,M1,2,2,F1,2019/5/7,R1,No,1
C109782,1512,1512,M1,2,2,F1,2019/5/7,R1,No,1
C110066,395,395,M1,2,2,F1,2019/5/7,R1,No,1
C110614,371,371,M1,1,1,F1,2019/5/7,R1,Yes,1
C110628,2198,2198,M1,1,1,F1,2019/5/7,R1,Yes,1
C110814,3526,3526,M1,2,2,F1,2019/5/7,R1,No,1
C110886,4288,4288,M1,2,2,F1,2019/5/7,R1,No,1
C112362,4933,4933,M1,2,2,F1,2019/5/7,R1,No,1
C112690,3237,3237,M1,2,2,F1,2019/5/7,R1,No,1
C113388,831,831,M1,2,2,F1,2019/5/7,R1,No,1
C113758,1744,1744,M1,2,2,F1,2019/5/7,R1,No,1
C101196,8811,8811,M2,4,4,F3,2019/5/7,R1,No,1
C106036,6106,6106,M2,3,3,F2,2019/5/7,R1,No,1
C108558,8152,8152,M2,2,2,F1,2019/5/7,R1,No,1
C109564,7795,7795,M2,2,2,F1,2019/5/7,R1,No,1
C109630,5224,5224,M2,2,2,F1,2019/5/7,R1,No,1
C109902,9456,9456,M2,2,2,F1,2019/5/7,R1,No,1
C111360,6506,6506,M2,2,2,F1,2019/5/7,R1,No,1
C111996,8595,8595,M2,2,2,F1,2019/5/7,R1,No,1
C112114,9921,9921,M2,2,2,F1,2019/5/7,R1,No,1
C113264,9938,9938,M2,2,2,F1,2019/5/7,R1,No,1
C113280,5382,5382,M2,2,2,F1,2019/5/7,R1,No,1
C113946,5089,5089,M2,2,2,F1,2019/5/7,R1,No,1
C114342,8205,8205,M2,2,2,F1,2019/5/7,R1,No,1
C102902,15436,15436,M3,3,3,F2,2019/5/7,R1,No,1
C103982,18508,18508,M3,3,3,F2,2019/5/7,R1,No,1
C105456,14255,14255,M3,3,3,F2,2019/5/7,R1,No,1
C106246,12781,12781,M3,3,3,F2,2019/5/7,R1,No,1
C106550,16756,16756,M3,3,3,F2,2019/5/7,R1,No,1
C107736,17468,17468,M3,2,2,F1,2019/5/7,R1,No,1
C108564,10816,10816,M3,2,2,F1,2019/5/7,R1,No,1
C110380,13200,13200,M3,2,2,F1,2019/5/7,R1,No,1
C110652,14408,14408,M3,1,1,F1,2019/5/7,R1,Yes,1
C111218,13218,13218,M3,2,2,F1,2019/5/7,R1,No,1
C111682,17235,17235,M3,2,2,F1,2019/5/7,R1,No,1
C111728,18111,18111,M3,2,2,F1,2019/5/7,R1,No,1
C112044,11178,11178,M3,2,2,F1,2019/5/7,R1,No,1
C112702,10251,10251,M3,2,2,F1,2019/5/7,R1,No,1
C112930,11222,11222,M3,2,2,F1,2019/5/7,R1,No,1
C114412,12604,12604,M3,2,2,F1,2019/5/7,R1,No,1
C114874,15605,15605,M3,2,2,F1,2019/5/7,R1,No,1
C104652,28679,28679,M4,3,3,F2,2019/5/7,R1,No,1
C105506,21641,21641,M4,3,3,F2,2019/5/7,R1,No,1
C105708,24119,24119,M4,3,3,F2,2019/5/7,R1,No,1
C106072,22665,22665,M4,3,3,F2,2019/5/7,R1,No,1
C107734,26125,26125,M4,2,2,F1,2019/5/7,R1,No,1
C108396,25458,25458,M4,2,2,F1,2019/5/7,R1,No,1
C109152,22740,22740,M4,2,2,F1,2019/5/7,R1,No,1
C109212,25353,25353,M4,2,2,F1,2019/5/7,R1,No,1
C109406,20509,20509,M4,2,2,F1,2019/5/7,R1,No,1
C111296,22246,22246,M4,2,2,F1,2019/5/7,R1,No,1
C111402,25379,25379,M4,2,2,F1,2019/5/7,R1,No,1
C111714,29711,29711,M4,2,2,F1,2019/5/7,R1,No,1
C112100,25281,25281,M4,2,2,F1,2019/5/7,R1,No,1
C112410,24941,24941,M4,2,2,F1,2019/5/7,R1,No,1
C112808,24338,24338,M4,2,2,F1,2019/5/7,R1,No,1
C113046,22412,22412,M4,2,2,F1,2019/5/7,R1,No,1
C113950,27098,27098,M4,2,2,F1,2019/5/7,R1,No,1
C114304,26313,26313,M4,2,2,F1,2019/5/7,R1,No,1
C102484,43604,43604,M5,3,3,F2,2019/5/7,R1,No,1
C102784,37755,37755,M5,4,4,F3,2019/5/7,R1,No,1
C109014,43548,43548,M5,2,2,F1,2019/5/7,R1,No,1
C109574,32500,32500,M5,2,2,F1,2019/5/7,R1,No,1
C110140,40222,40222,M5,2,2,F1,2019/5/7,R1,No,1
C111722,39933,39933,M5,2,2,F1,2019/5/7,R1,No,1
C112708,37142,37142,M5,2,2,F1,2019/5/7,R1,No,1
C104736,1359,1359,M1,3,3,F2,2019/5/8,R1,No,1
C108418,4961,4961,M1,2,2,F1,2019/5/8,R1,No,1
C108498,4297,4297,M1,2,2,F1,2019/5/8,R1,No,1
C109264,1731,1731,M1,2,2,F1,2019/5/8,R1,No,1
C110864,2058,2058,M1,2,2,F1,2019/5/8,R1,No,1
C110928,2006,2006,M1,2,2,F1,2019/5/8,R1,No,1
C112686,3618,3618,M1,2,2,F1,2019/5/8,R1,No,1
C113538,4263,4263,M1,2,2,F1,2019/5/8,R1,No,1
C113860,3903,3903,M1,2,2,F1,2019/5/8,R1,No,1
C114324,3146,3146,M1,2,2,F1,2019/5/8,R1,No,1
C102490,8818,8818,M2,3,3,F2,2019/5/8,R1,No,1
C105274,7600,7600,M2,3,3,F2,2019/5/8,R1,No,1
C105406,8398,8398,M2,3,3,F2,2019/5/8,R1,No,1
C108798,7287,7287,M2,2,2,F1,2019/5/8,R1,No,1
C109592,6507,6507,M2,2,2,F1,2019/5/8,R1,No,1
C110314,9620,9620,M2,2,2,F1,2019/5/8,R1,No,1
C112840,6058,6058,M2,2,2,F1,2019/5/8,R1,No,1
C112850,9403,9403,M2,2,2,F1,2019/5/8,R1,No,1
C113672,9876,9876,M2,2,2,F1,2019/5/8,R1,No,1
C113684,9761,9761,M2,2,2,F1,2019/5/8,R1,No,1
C102108,17608,17608,M3,3,3,F2,2019/5/8,R1,No,1
C102138,14000,14000,M3,3,3,F2,2019/5/8,R1,No,1
C102202,14853,14853,M3,3,3,F2,2019/5/8,R1,No,1
C102370,17809,17809,M3,3,3,F2,2019/5/8,R1,No,1
C103402,19503,19503,M3,3,3,F2,2019/5/8,R1,No,1
C103884,19536,19536,M3,3,3,F2,2019/5/8,R1,No,1
C104062,14855,14855,M3,3,3,F2,2019/5/8,R1,No,1
C104482,18122,18122,M3,3,3,F2,2019/5/8,R1,No,1
C106448,13463,13463,M3,3,3,F2,2019/5/8,R1,No,1
C106570,13159,13159,M3,3,3,F2,2019/5/8,R1,No,1
C107760,13147,13147,M3,2,2,F1,2019/5/8,R1,No,1
C107878,13060,13060,M3,2,2,F1,2019/5/8,R1,No,1
C107920,19511,19511,M3,2,2,F1,2019/5/8,R1,No,1
C108156,14019,14019,M3,2,2,F1,2019/5/8,R1,No,1
C108272,10312,10312,M3,2,2,F1,2019/5/8,R1,No,1
C108378,17287,17287,M3,2,2,F1,2019/5/8,R1,No,1
C108608,18170,18170,M3,2,2,F1,2019/5/8,R1,No,1
C108986,17468,17468,M3,2,2,F1,2019/5/8,R1,No,1
C109738,18671,18671,M3,2,2,F1,2019/5/8,R1,No,1
C109818,17202,17202,M3,2,2,F1,2019/5/8,R1,No,1
C109864,11872,11872,M3,2,2,F1,2019/5/8,R1,No,1
C110182,14100,14100,M3,2,2,F1,2019/5/8,R1,No,1
C110226,15461,15461,M3,2,2,F1,2019/5/8,R1,No,1
C110586,19450,19450,M3,2,2,F1,2019/5/8,R1,No,1
C110640,13495,13495,M3,1,1,F1,2019/5/8,R1,Yes,1
C110656,11604,11604,M3,1,1,F1,2019/5/8,R1,Yes,1
C110940,13246,13246,M3,2,2,F1,2019/5/8,R1,No,1
C110978,10584,10584,M3,2,2,F1,2019/5/8,R1,No,1
C111260,19250,19250,M3,2,2,F1,2019/5/8,R1,No,1
C111374,10618,10618,M3,2,2,F1,2019/5/8,R1,No,1
C111798,11806,11806,M3,2,2,F1,2019/5/8,R1,No,1
C112958,19859,19859,M3,2,2,F1,2019/5/8,R1,No,1
C112986,15216,15216,M3,2,2,F1,2019/5/8,R1,No,1
C114450,19674,19674,M3,2,2,F1,2019/5/8,R1,No,1
C114830,14449,14449,M3,2,2,F1,2019/5/8,R1,No,1
C114856,13397,13397,M3,2,2,F1,2019/5/8,R1,No,1
C100410,21505,21505,M4,4,4,F3,2019/5/8,R1,No,1
C100686,20559,20559,M4,4,4,F3,2019/5/8,R1,No,1
C103514,27937,27937,M4,3,3,F2,2019/5/8,R1,No,1
C105596,20345,20345,M4,3,3,F2,2019/5/8,R1,No,1
C106140,23003,23003,M4,3,3,F2,2019/5/8,R1,No,1
C107714,28512,28512,M4,3,3,F2,2019/5/8,R1,No,1
C108068,26616,26616,M4,2,2,F1,2019/5/8,R1,No,1
C108344,23013,23013,M4,2,2,F1,2019/5/8,R1,No,1
C109214,21331,21331,M4,2,2,F1,2019/5/8,R1,No,1
C109602,26524,26524,M4,2,2,F1,2019/5/8,R1,No,1
C110514,23302,23302,M4,2,2,F1,2019/5/8,R1,No,1
C110552,22206,22206,M4,2,2,F1,2019/5/8,R1,No,1
C111004,24115,24115,M4,2,2,F1,2019/5/8,R1,No,1
C111432,20395,20395,M4,2,2,F1,2019/5/8,R1,No,1
C111634,22244,22244,M4,2,2,F1,2019/5/8,R1,No,1
C112382,23955,23955,M4,2,2,F1,2019/5/8,R1,No,1
C112806,25903,25903,M4,2,2,F1,2019/5/8,R1,No,1
C113206,29257,29257,M4,2,2,F1,2019/5/8,R1,No,1
C113220,23102,23102,M4,2,2,F1,2019/5/8,R1,No,1
C113608,25179,25179,M4,2,2,F1,2019/5/8,R1,No,1
C113714,28824,28824,M4,2,2,F1,2019/5/8,R1,No,1
C114462,20830,20830,M4,2,2,F1,2019/5/8,R1,No,1
C104686,41156,41156,M5,3,3,F2,2019/5/8,R1,No,1
C104830,30082,30082,M5,3,3,F2,2019/5/8,R1,No,1
C104990,46914,46914,M5,3,3,F2,2019/5/8,R1,No,1
C105462,39284,39284,M5,3,3,F2,2019/5/8,R1,No,1
C111080,30023,30023,M5,2,2,F1,2019/5/8,R1,No,1
C111302,30990,30990,M5,2,2,F1,2019/5/8,R1,No,1
C113246,31437,31437,M5,2,2,F1,2019/5/8,R1,No,1
C113700,32486,32486,M5,2,2,F1,2019/5/8,R1,No,1
C106980,2880,2880,M1,3,3,F2,2019/5/9,R1,No,1
C109938,4983,4983,M1,2,2,F1,2019/5/9,R1,No,1
C110408,814,814,M1,2,2,F1,2019/5/9,R1,No,1
C111274,1781,1781,M1,2,2,F1,2019/5/9,R1,No,1
C112286,4465,4465,M1,2,2,F1,2019/5/9,R1,No,1
C113066,1812,1812,M1,2,2,F1,2019/5/9,R1,No,1
C113344,3152,3152,M1,2,2,F1,2019/5/9,R1,No,1
C113698,1674,1674,M1,2,2,F1,2019/5/9,R1,No,1
C103856,6020,6020,M2,3,3,F2,2019/5/9,R1,No,1
C107852,7843,7843,M2,2,2,F1,2019/5/9,R1,No,1
C108834,5617,5617,M2,2,2,F1,2019/5/9,R1,No,1
C108944,5010,5010,M2,2,2,F1,2019/5/9,R1,No,1
C109016,8991,8991,M2,2,2,F1,2019/5/9,R1,No,1
C109494,7369,7369,M2,2,2,F1,2019/5/9,R1,No,1
C109638,7903,7903,M2,2,2,F1,2019/5/9,R1,No,1
C109906,9331,9331,M2,2,2,F1,2019/5/9,R1,No,1
C110250,7526,7526,M2,2,2,F1,2019/5/9,R1,No,1
C110650,8324,8324,M2,1,1,F1,2019/5/9,R1,Yes,1
C110664,9487,9487,M2,1,1,F1,2019/5/9,R1,Yes,1
C110896,7353,7353,M2,2,2,F1,2019/5/9,R1,No,1
C110906,8824,8824,M2,2,2,F1,2019/5/9,R1,No,1
C111358,6987,6987,M2,2,2,F1,2019/5/9,R1,No,1
C111462,6519,6519,M2,2,2,F1,2019/5/9,R1,No,1
C111676,9115,9115,M2,2,2,F1,2019/5/9,R1,No,1
C114024,8878,8878,M2,2,2,F1,2019/5/9,R1,No,1
C114322,6862,6862,M2,2,2,F1,2019/5/9,R1,No,1
C101962,18371,18371,M3,3,3,F2,2019/5/9,R1,No,1
C102126,15170,15170,M3,3,3,F2,2019/5/9,R1,No,1
C103066,16696,16696,M3,3,3,F2,2019/5/9,R1,No,1
C104396,15634,15634,M3,3,3,F2,2019/5/9,R1,No,1
C105160,16498,16498,M3,3,3,F2,2019/5/9,R1,No,1
C105646,16257,16257,M3,3,3,F2,2019/5/9,R1,No,1
C106462,10626,10626,M3,3,3,F2,2019/5/9,R1,No,1
C107122,15853,15853,M3,3,3,F2,2019/5/9,R1,No,1
C108214,12719,12719,M3,2,2,F1,2019/5/9,R1,No,1
C108434,18763,18763,M3,2,2,F1,2019/5/9,R1,No,1
C108460,13973,13973,M3,2,2,F1,2019/5/9,R1,No,1
C109184,11976,11976,M3,2,2,F1,2019/5/9,R1,No,1
C109376,17467,17467,M3,2,2,F1,2019/5/9,R1,No,1
C109800,12704,12704,M3,2,2,F1,2019/5/9,R1,No,1
C110292,18781,18781,M3,2,2,F1,2019/5/9,R1,No,1
C110592,18472,18472,M3,2,2,F1,2019/5/9,R1,No,1
C111132,18987,18987,M3,2,2,F1,2019/5/9,R1,No,1
C111586,12371,12371,M3,2,2,F1,2019/5/9,R1,No,1
C112902,17106,17106,M3,2,2,F1,2019/5/9,R1,No,1
C112948,15291,15291,M3,2,2,F1,2019/5/9,R1,No,1
C113190,17257,17257,M3,2,2,F1,2019/5/9,R1,No,1
C114432,12711,12711,M3,2,2,F1,2019/5/9,R1,No,1
C102396,27584,27584,M4,3,3,F2,2019/5/9,R1,No,1
C103036,26049,26049,M4,3,3,F2,2019/5/9,R1,No,1
C103270,20542,20542,M4,3,3,F2,2019/5/9,R1,No,1
C107832,27833,27833,M4,2,2,F1,2019/5/9,R1,No,1
C108224,25441,25441,M4,2,2,F1,2019/5/9,R1,No,1
C108408,25507,25507,M4,2,2,F1,2019/5/9,R1,No,1
C110220,21796,21796,M4,2,2,F1,2019/5/9,R1,No,1
C110308,23659,23659,M4,2,2,F1,2019/5/9,R1,No,1
C110404,25535,25535,M4,2,2,F1,2019/5/9,R1,No,1
C110654,24349,24349,M4,1,1,F1,2019/5/9,R1,Yes,1
C110752,22805,22805,M4,2,2,F1,2019/5/9,R1,No,1
C110770,27535,27535,M4,2,2,F1,2019/5/9,R1,No,1
C111440,24314,24314,M4,2,2,F1,2019/5/9,R1,No,1
C111730,28990,28990,M4,2,2,F1,2019/5/9,R1,No,1
C111940,25723,25723,M4,2,2,F1,2019/5/9,R1,No,1
C113340,20525,20525,M4,2,2,F1,2019/5/9,R1,No,1
C113354,21994,21994,M4,2,2,F1,2019/5/9,R1,No,1
C114038,25396,25396,M4,2,2,F1,2019/5/9,R1,No,1
C114328,20850,20850,M4,2,2,F1,2019/5/9,R1,No,1
C114436,28113,28113,M4,2,2,F1,2019/5/9,R1,No,1
C114650,21440,21440,M4,2,2,F1,2019/5/9,R1,No,1
C114772,21954,21954,M4,2,2,F1,2019/5/9,R1,No,1
C100674,38956,38956,M5,4,4,F3,2019/5/9,R1,No,1
C101654,36318,36318,M5,4,4,F3,2019/5/9,R1,No,1
C101724,35769,35769,M5,3,3,F2,2019/5/9,R1,No,1
C102044,38721,38721,M5,3,3,F2,2019/5/9,R1,No,1
